帳號,題號,測試結果,執行時間,使用記憶體,程式語言,上傳時間
17,TIOJ-1001,Accepted,25.6,17.25,python,2024-05-24 10:30
17,TIOJ-1001,Accepted,25.1,16.29,python,2024-05-24 11:46
17,TIOJ-1001,Accepted,25.4,16.29,python,2024-05-24 11:49
17,TIOJ-1001,Accepted,26.5,16.29,python,2024-05-24 12:03
17,TIOJ-1001,Accepted,25.4,17.25,python,2024-05-24 17:28
17,TIOJ-1001,Accepted,25.5,17.25,python,2024-05-25 13:46
17,TIOJ-1001,Accepted,25.6,17.25,python,2024-05-25 14:01
17,ZJ-a001,Accepted,17ms,3.2MB,python,2024-05-25
17,ZJ-a001,Accepted,18ms,3.3MB,python,2024-05-25
17,TIOJ-1001,Accepted,25.6,17.25,python,2024-05-25 17:47
17,TIOJ-1001,Wrong Answer,26.1,16.29,python,2024-05-25 17:47
17,TIOJ-1001,Accepted,26.2,17.25,python,2024-05-25 17:47
17,TIOJ-1001,Accepted,25.0,16.29,python,2024-05-26 14:00:08.955446
17,TIOJ-1001,Wrong Answer,26.0,16.29,python,2024-05-26 14:16:48.690150
17,TIOJ-1001,Wrong Answer,25.3,17.25,python,2024-05-26 14:33:33.586588
17,TIOJ-1001,Wrong Answer,25.1,17.25,python,2024-05-26 14:40:45.372332
17,TIOJ-1001,Wrong Answer,25.4,16.29,python,2024-05-26 14:54:28.458653
17,TIOJ-1001,Accepted,25.4,16.29,python,2024-05-26 15:47:15.078891
17,TIOJ-1001,Accepted,26.9,16.29,python,2024-05-27 09:01:26.455340
17,TIOJ-1001,Wrong Answer,25.4,17.25,python,2024-05-28 16:22:01.937682
17,TIOJ-1001,Wrong Answer,25.7,17.25,python,2024-05-28 20:10:06.535630
17,TIOJ-1001,Accepted,25.1,17.25,python,2024-05-28 20:13:05.151684
17,TIOJ-1001,Accepted,26.2,16.29,python,2024-05-28 20:32:28.927912
17,TIOJ-1001,Accepted,25.2,16.29,python,2024-05-28 20:32:53.833451
17,TIOJ-1002,Runtime Error,25.5,16.29,python,2024-05-28 20:41:18.356438
17,TIOJ-1002,Wrong Answer,25.8,17.25,python,2024-05-28 20:43:54.158520
17,TIOJ-1001,Accepted,25.2,16.29,python,2024-05-29 21:47:35.543638
6,TIOJ-1001,Accepted,26.0,16.29,python,2024-06-02 10:51:34.856666
6,TIOJ-1001,Accepted,25.1,16.29,python,2024-06-02 10:57:23.065297
6,ZJ-a001,Accepted,18ms,3.3MB,python,2024-06-02 11:23
6,ZJ-a001,Accepted,18ms,3.3MB,python,2024-06-02 11:25
6,TIOJ-1004,Accepted,25.7,17.25,python,2024-06-02 11:38:37.982994
17,TIOJ-1001,Accepted,25.8,17.25,python,2024-09-20 13:15:22.396554
17,TIOJ-1001,Accepted,27.6,17.25,python,2024-09-20 15:20:01.138819
4,TIOJ-1001,Accepted,25.5,17.25,python,2024-09-28 17:37:34.502535
4,TIOJ-1001,Accepted,25.1,17.25,python,2024-09-28 17:41:52.090411
4,TIOJ-1001,Accepted,26.3,16.29,python,2024-09-28 17:44:12.652530
4,TIOJ-1001,Accepted,25.4,17.25,python,2024-09-28 17:50:45.689895
4,TIOJ-1001,Accepted,25.5,16.29,python,2024-09-28 19:22:12.652320
